"LLAVEHOG","LLAVEVIV","P2_8","FOLIO","VIV_SEL","HOGAR","EST_DIS","UPM_DIS","FAC_HOG"
"10328161","1032816","02","10328","16","1","187","02144",1720
"10329081","1032908","02","10329","08","1","032","00391",636
"10330041","1033004","00","10330","04","1","157","01835",4084
"10331171","1033117","01","10331","17","1","063","00883",3042
"10332091","1033209","02","10332","09","1","057","00836",4721
"10333071","1033307","02","10333","07","1","057","00838",3502
"10334011","1033401","02","10334","01","1","018","00214",680
"10335051","1033505","03","10335","05","1","009","00069",3373
"10336151","1033615","00","10336","15","1","071","00939",2376
"10337051","1033705","02","10337","05","1","146","01734",1558
"10338201","1033820","00","10338","20","1","136","01591",1218
"10339041","1033904","01","10339","04","1","125","01465",3729
"10340011","1034001","03","10340","01","1","163","01927",1789
"10341021","1034102","02","10341","02","1","078","00976",10781
"10342191","1034219","02","10342","19","1","070","00933",2426
"10343201","1034320","01","10343","20","1","042","00481",3354
"10344021","1034402","02","10344","02","1","101","01215",1128
"10345021","1034502","01","10345","02","1","029","00317",1545
"10346121","1034612","02","10346","12","1","135","01582",2162
"10347021","1034702","01","10347","02","1","104","01245",896
"10348121","1034812","02","10348","12","1","166","01971",658
"10349051","1034905","01","10349","05","1","011","00135",2757
"10350011","1035001","01","10350","01","1","053","00791",1209
"10351011","1035101","02","10351","01","1","139","01622",1404
"10352041","1035204","01","10352","04","1","086","01072",12524
"10353041","1035304","01","10353","04","1","009","00083",2919
"10354081","1035408","02","10354","08","1","110","01375",5038
"10355041","1035504","03","10355","04","1","138","01606",1354
"10356091","1035609","00","10356","09","1","137","01596",1073
"10357021","1035702","02","10357","02","1","175","02064",4903
"10358131","1035813","00","10358","13","1","143","01681",2188
"10359051","1035905","01","10359","05","1","162","01877",1713
"10360021","1036002","00","10360","02","1","098","01193",1296
"10361051","1036105","01","10361","05","1","049","00631",3756
"10362041","1036204","02","10362","04","1","164","01961",1825
"10363161","1036316","01","10363","16","1","088","01110",4468
"10364031","1036403","01","10364","03","1","008","00062",1927
"10365051","1036505","02","10365","05","1","174","02046",5443
"10366041","1036604","03","10366","04","1","151","01775",2137
"10367031","1036703","02","10367","03","1","104","01246",891
"10368191","1036819","01","10368","19","1","187","02148",1543
"10369011","1036901","01","10369","01","1","004","00009",1287
"10370031","1037003","03","10370","03","1","085","01059",9177
"10371011","1037101","02","10371","01","1","170","02024",990
"10372051","1037205","02","10372","05","1","004","00026",1132
"10373011","1037301","03","10373","01","1","170","02015",1223
"10374051","1037405","02","10374","05","1","035","00432",683
"10375031","1037503","01","10375","03","1","182","02108",1861
"10376091","1037609","02","10376","09","1","038","00446",6693
"10377031","1037703","00","10377","03","1","086","01080",10183
"10378011","1037801","01","10378","01","1","065","00895",3954
"10379011","1037901","01","10379","01","1","176","02070",6286
"10380011","1038001","03","10380","01","1","098","01189",1386
"10381051","1038105","01","10381","05","1","106","01264",3506
"10382091","1038209","00","10382","09","1","160","01846",1388
"10383051","1038305","02","10383","05","1","048","00584",3791
"10384011","1038401","00","10384","01","1","006","00059",1038
"10385161","1038516","01","10385","16","1","090","01116",3460
"10386021","1038602","00","10386","02","1","070","00931",3702
"10387041","1038704","01","10387","04","1","048","00592",3525
"10388041","1038804","04","10388","04","1","126","01473",2107
"10389011","1038901","01","10389","01","1","050","00742",2715
"10390041","1039004","02","10390","04","1","184","02128",2779
"10391121","1039112","01","10391","12","1","154","01815",2566
"10392071","1039207","02","10392","07","1","038","00446",6693
"10393201","1039320","00","10393","20","1","071","00939",2376
"10394011","1039401","03","10394","01","1","050","00761",1061
"10395171","1039517","01","10395","17","1","118","01415",5024
"10396031","1039603","02","10396","03","1","080","01009",6673
"10397041","1039704","00","10397","04","1","137","01596",1073
"10398021","1039802","01","10398","02","1","054","00815",1250
"10399061","1039906","01","10399","06","1","037","00442",5052
"10400021","1040002","02","10400","02","1","120","01431",1119
"10401201","1040120","01","10401","20","1","077","00970",8757
"10402111","1040211","05","10402","11","1","125","01468",1809
"10403011","1040301","01","10403","01","1","150","01746",2719
"10404021","1040402","01","10404","02","1","010","00112",2852
"10405011","1040501","02","10405","01","1","004","00020",1269
"10406011","1040601","01","10406","01","1","103","01230",1147
"10407061","1040706","01","10407","06","1","153","01811",2396
"10408051","1040805","01","10408","05","1","138","01602",1545
"10409031","1040903","02","10409","03","1","164","01955",2022
"10410051","1041005","01","10410","05","1","072","00944",2387
"10411051","1041105","01","10411","05","1","092","01131",4532
"10412201","1041220","01","10412","20","1","100","01211",1520
"10413111","1041311","02","10413","11","1","075","00966",3387
"10414171","1041417","01","10414","17","1","083","01024",5447
"10415031","1041503","01","10415","03","1","049","00676",1034
"10416161","1041616","00","10416","16","1","174","02047",5218
"10416162","1041616","02","10416","16","2","174","02047",5218
"10417051","1041705","01","10417","05","1","064","00894",2202
"10418031","1041803","00","10418","03","1","017","00191",675
"10419171","1041917","00","10419","17","1","143","01678",2442
"10420051","1042005","02","10420","05","1","030","00332",1626
"10421201","1042120","00","10421","20","1","071","00935",2985
"10422041","1042204","01","10422","04","1","030","00364",1340
"10423021","1042302","01","10423","02","1","106","01269",3334
"10424021","1042402","02","10424","02","1","029","00305",1617
"10425041","1042504","02","10425","04","1","184","02130",2639
"10426051","1042605","02","10426","05","1","050","00711",3409
"10427131","1042713","04","10427","13","1","090","01117",3299
"10428031","1042803","01","10428","03","1","010","00112",2852
"10429031","1042903","01","10429","03","1","018","00208",757
"10430041","1043004","01","10430","04","1","097","01161",1854
"10431041","1043104","03","10431","04","1","085","01044",11976
"10432011","1043201","01","10432","01","1","091","01123",4162
"10433031","1043303","01","10433","03","1","102","01223",1242
"10434021","1043402","02","10434","02","1","151","01784",2039
"10435031","1043503","02","10435","03","1","050","00707",3479
"10436021","1043602","01","10436","02","1","066","00909",3673
"10437031","1043703","03","10437","03","1","072","00944",2387
"10438101","1043810","01","10438","10","1","020","00222",977
"10439041","1043904","01","10439","04","1","115","01404",6225
