LLAVESDE,LLAVEMOD,LLAVEVIV,LLAVEHOG,N_REN,FOLIO,VIV_SEL,HOGAR,EDAD_V,SEXO,NIV,GRA,PAREN,ENT,TLOC,REGION,P3_2,P3_8,P3_10,P3_11A,P3_11B,P3_12,P3_14,P3_5_5,P4_1,P4_3,P4_10,P4_11,P0_1,P0_2,P0_3,P0_4_2,P1_1,P2_8,P6_2_1,P6_2_2,P6_2_3,P6_2_4,P6_2_5,P6_2_6,P6_2_7,P6_2_8,P6_2_9,P8_1,P8_5_1,P8_5_2,P8_5_3,P12_2,P12_3,P12_4,P13_2_1,P13_2_2,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_3_7,P6_3_8,P6_3_9,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_4_5,P6_4_6,P6_4_7,P6_4_8,P6_4_9,delinquent_any,delinquent_count
173502101,173502101,173502,1735021,1,1735,2,1,33,1,8,4,1,14,1,3,5,1,1.0,41000.0,3.0,1.0,1,2,2,1,5,2,3,5,2,1,4,2,2,1,2,2,2,2,2,2,2,1,1.0,1.0,2.0,2,1,3,2,2,,2.0,,,,,,,,,,,,,,,,,0,0
173601102,173601102,173601,1736011,2,1736,1,1,62,2,2,4,2,21,1,5,1,1,5.0,1000.0,1.0,2.0,1,1,2,1,4,2,2,3,1,1,2,2,2,2,2,2,2,2,1,2,2,2,,,,2,2,3,2,2,,,,,,,1.0,,,,,,,,,1.0,,,1,1
173718102,173718102,173718,1737181,2,1737,18,1,37,1,8,5,3,24,3,2,6,1,1.0,1800.0,1.0,1.0,1,1,2,1,4,2,3,4,1,1,4,4,2,1,2,2,2,2,2,2,2,1,2.0,1.0,2.0,2,1,2,2,2,,1.0,,,,,,,,,1.0,,,,,,,,1,1
173804102,173804102,173804,1738041,2,1738,4,1,35,2,3,3,2,17,1,5,1,1,1.0,9000.0,3.0,1.0,1,1,2,2,2,2,2,3,1,1,5,2,2,2,1,2,2,2,2,2,2,1,1.0,2.0,2.0,9,3,3,2,2,,,2.0,,,,,,,,,,,,,,,,0,0
173901101,173901101,173901,1739011,1,1739,1,1,60,1,2,6,1,23,1,6,5,1,5.0,1000.0,1.0,2.0,1,1,2,1,3,2,1,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,9,1,3,1,2,,,,,,,,,,,,,,,,,,,0,0
174020102,174020102,174020,1740201,2,1740,20,1,31,2,6,3,2,4,4,6,5,7,,,,,2,1,2,2,1,2,1,2,0,2,4,1,2,2,2,2,2,2,2,2,2,2,,,,9,9,9,1,2,,,,,,,,,,,,,,,,,,,0,0
174105101,174105101,174105,1741051,1,1741,5,1,42,1,3,3,1,20,4,6,1,1,5.0,1500.0,1.0,2.0,2,1,2,2,1,2,2,2,0,2,5,1,2,2,2,2,2,2,2,2,2,2,,,,2,1,2,2,2,,,,,,,,,,,,,,,,,,,0,0
174205102,174205102,174205,1742051,2,1742,5,1,28,2,8,5,2,19,1,2,1,7,,,,,1,1,1,1,1,2,2,4,1,1,3,1,2,2,2,2,2,2,2,2,2,2,,,,1,1,3,2,2,,,,,,,,,,,,,,,,,,,0,0
174305103,174305103,174305,1743051,3,1743,5,1,47,1,2,6,3,24,4,2,6,1,2.0,500.0,1.0,2.0,2,1,2,2,1,1,3,4,0,2,3,2,2,2,2,2,2,2,2,2,2,2,,,,9,9,3,2,2,,,,,,,,,,,,,,,,,,,0,0
174405101,174405101,174405,1744051,1,1744,5,1,38,1,6,3,1,19,1,2,5,1,1.0,46000.0,3.0,1.0,1,1,2,1,3,2,2,3,1,1,4,1,2,1,2,2,2,1,2,2,2,1,1.0,1.0,1.0,2,2,3,1,1,,1.0,,,,2.0,,,,,1.0,,,,,,,,1,1
